{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}エメロード姫！{/n}あなたが エメロード姫ですか？{/n},{Par}艾美诺公主！{/n}您是艾美诺公主吗？{/n}
はい…{/n}{/n},是的…{/n}{/n}
よかった。無事で…{/n}{/n},太好了。您平安无事…{/n}{/n}
これで セフィーロも{/n}救われましたわ！{/n},这样一来{/n}锡菲罗也得救了！{/n}
もう安心です、エメロード姫。{/n}神官ザガートは倒しましたから…{/n},请放心吧、艾美诺公主。{/n}神官扎加特已经被我们打倒…{/n}
やはり！{/n}{/n},果然！{/n}{/n}
本当に…{/n}ザガートを倒したのですか…？{/n},真的…{/n}打倒扎加特了吗…？{/n}
{Par}えっ…ええ…。{/n}{/n},{Par}诶…是的…。{/n}{/n}
許せない…！,不可原谅…！
えっ？{/n}{/n},诶？{/n}{/n}
何ですって？{/n}{/n},您说什么？{/n}{/n}
許せない{var4}{/n},不可原谅{var4}{/n}
エメロード姫{var3}{/n}{/n},艾美诺公主{var3}{/n}{/n}
わたしの…愛する人を…{/n}{/n},我的…心爱之人…{/n}{/n}
わたしの愛する人を殺した…！{/n}{/n},杀害了我心爱之人…！{/n}{/n}
{var0}！{/n}許せない{var4}{/n},{var0}！{/n}不可原谅{var4}{/n}
そ…そんな…{var4}{/n}{/n},怎…怎么会…{var4}{/n}{/n}
光！ 海！ 風！{/n}聞こえるか{var3}{/n},光！海！风！{/n}听得见吗{var3}{/n}
クレフ！{/n}いったい どうなってるんだ？{/n},克雷夫！{/n}这到底是怎么回事？{/n}
全然 ワケが わかりませんわ！{/n}{/n},完全搞不明白啊！{/n}{/n}
説明して、クレフ！{/n}{/n},解释一下、克雷夫！{/n}{/n}
いいだろう。{/n}{/n},好吧。{/n}{/n}
セフィーロのことを思う気持ちが{/n}世界を守る…「柱」ともいうべき{/n}エメロード姫…,怀着守护锡菲罗之心{/n}作为「柱」…守护世界的{/n}艾美诺公主…
その悲劇は、エメロード姫が{/n}神官ザガートを愛してしまった{/n}ことから 始まるのだ…！,这场悲剧、{/n}正是始于艾美诺公主爱上{/n}神官扎加特这件事啊…！
