{Par}本体ＲＡＭのバックアップの準備がまだ できていません。{/n},{Par}主机ＲＡＭ的备份准备尚未完成。{/n}
セガサターン本体の{/n}保存データ管理画面で、{/n}すべての記録を消してください。,请在世嘉土星主机的{/n}保存数据管理页面中、{/n}清除所有记录。
{Par}このままゲームを始めてしまうと、日記を書くこと（記録のセーブ）ができません。,{Par}若就此开始游戏、将无法撰写日记（记录保存）。
それでも ゲームを始めますか？{/n},即便如此 也要开始游戏吗？{/n}
はい{/n},是{/n}
いいえ{/n},否{/n}
{Par}本当に？{/n}{/n},{Par}当真？{/n}{/n}
そこまでいうなら{/n}ゲームを始めましょう。{/n},既然说到这个份上{/n}那就开始游戏吧。{/n}
{Par}このゲームで 日記を書く{/n}（記録をセーブする）ためには{/n}２００の空き容量が必要です。,{Par}要在此游戏中撰写日记{/n}（进行记录保存）{/n}需要２００单位的剩余容量。
セガサターン本体の{/n}保存データ管理画面で{/n}他のゲームのデータを消すか…,请于世嘉土星主机的{/n}保存数据管理画面中{/n}删除其他游戏数据…
カートリッジＲＡＭに{/n}データをコピーしてから、{/n}ゲームを再スタートしてください。,或将数据复制至记忆卡ＲＡＭ后、{/n}重新启动游戏。{/n}
{Par}日記（ゲームの記録）を{/n}正しく読み込むことが{/n}できませんでした。,{Par}未能正确读取{/n}日记（游戏记录）。{/n}
{Par}日記を書くこと（記録のセーブ）ができませんでした。{/n}もう一度やりなおしてください。,{Par}未能成功撰写日记（记录保存）。{/n}请重新尝试。
{Par}本    体ＲＡＭ,{Par}主    机ＲＡＭ
{Par}カートリッジＲＡＭ,{Par}记 忆 卡ＲＡＭ
{Par}使用できません,{Par}无法使用
{Par}なにもかいていない日記,{Par}空白的日记
{Par}東京タワー,{Par}东京塔
{Par}創師の館,{Par}创师之馆
{Par}沈黙の森,{Par}沉默之森
{Par}伝説の泉エテルナ,{Par}传说之泉艾蒂露娜
{Par}魔法のとばりのポリーズ,{Par}魔法帷幕的波利兹
{Par}いざないのどうくつ,{Par}指引洞窟
{Par}海に臨むタフロン,{Par}海边的塔夫隆
{Par}永遠の氷穴,{Par}永恒冰穴
{Par}白き氷のローゼン,{Par}冰冻的罗森
{Par}まどいのほらあな,{Par}迷途洞穴
{Par}白き氷のローゼン,{Par}冰冻的罗森
{Par}紅の地下道,{Par}红色地道
{Par}かげろうのアイアイ,{Par}炙热的艾艾
{Par}炎の館,{Par}炎之馆
{Par}生命の木のライリー,{Par}生命之树的莱利
{Par}生命の木,{Par}生命之树
{Par}ラカタク大滝,{Par}拉卡塔克大瀑布
{Par}ひそかなる大穴,{Par}隐秘大洞窟
{Par}遙かなる湖のレクイド,{Par}遥远湖畔的雷奎德
{Par}東の樹海,{Par}东之树海
{Par}空中庭園エアリア,{Par}空中庭园艾瑞亚
{Par}蒼き雲の迷宮,{Par}苍蓝的云之迷宫
{Par}さざめきの森,{Par}私语之森
{Par}真実の眠る火山,{Par}沉眠真相的火山
{Par}ザガート城,{Par}扎加特城
{Par}七色おじさんの店,{Par}七彩大叔的店
{Par}伝説の岬,{Par}传说之岬
{Par}大いなる渦,{Par}大漩涡
{Par}かげろうのアイアイ,{Par}炙热的艾艾
{Par}生命の木のライリー,{Par}生命之树的莱利
{Par}魔法のとばりのポリーズ,{Par}魔法帷幕的波利兹
{Par}さざめきの森,{Par}私语之森
{Par}海に臨むタフロン,{Par}海边的塔夫隆
{Par}創師の館,{Par}创师之馆
{Par}静かなる海原,{Par}寂静海原
{Par}海に臨むタフロン,{Par}临海的塔夫隆
{Par}ライリーはずれ,{Par}莱利的尽头
{Par}西の樹海,{Par}西之树海
{Par}海に臨むタフロン,{Par}海边的塔夫隆
