{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}す、すまん！{/n}{var0}のしょくん{var4}{/n},{Par}对、对不起！{/n}{var0}的诸位{var4}{/n}
わしゃ今まで、結界を作って{/n}村を魔物から守り、みんなから{/n}ちやほやされていたんじゃ。,老夫至今一直维持着结界{/n}保护村子免受魔物侵扰、{/n}深受大家的爱戴。
しかし 最近、結界をやぶって{/n}村に入ってくる魔物が出てきて、{/n}わしの信用 まるつぶれ！,但最近出现了能突破结界{/n}侵入村庄的魔物、{/n}害得老夫信用扫地！
その上、伝説の{/n}{var0}が現れたという！{/n},再加上传说中的{/n}{var0}现身的消息！{/n}
もし あんたたちが うまいこと{/n}魔物を倒してしまえば、わしの{/n}面目 さらに まるつぶれ！,要是你们顺利消灭魔物、{/n}老夫的颜面{/n}更要荡然无存了！
それで わたしたちの{/n}行くとこ行くとこ ジャマしに{/n}現れたってわけなのね！,所以才追着我们、{/n}处处给我们捣乱！{/n}原来是这么回事！
もうしわけないっ！{/n}{/n},实在是万分抱歉！{/n}{/n}
もういいよ、ルキノさん。{/n}魔物は ちゃんと倒せたんだし。{/n}さ、村に帰ろう？,好啦好啦、卢基诺先生。{/n}魔物已经顺利消灭了。{/n}走、回村子吧？
