{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}クレフと{/n}{/n},{Par}克雷夫与{/n}{/n}
プレセアの{/n}{/n},普蕾西娅的{/n}{/n}
ふしぎセフィーロ講座ぁ！{/n}{/n},奇妙锡菲罗讲座！{/n}{/n}
ついに 光たち３人は{/n}＜モコナ＞を仲間にしたな。{/n},终于 光她们三人{/n}将＜摩可拿＞收入伙伴了呢。{/n}
{var0}たちの旅を助ける{/n}ナゾの生き物ですね！{/n},{var0}们旅途中的帮手{/n}是神秘生物哦！{/n}
うむ。このゲームでは ふだんは{/n}かくれているが、スタートボタンで{/n}呼び出すことができるぞ。,嗯。在游戏中虽然平时{/n}处于隐藏状态、但按开始键{/n}就能召唤出来哦。
そうするとモコナの出してくれた{/n}アイテムを使ったり、いろんな{/n}設定を変えたりできるのよ！,这样就能使用摩可拿{/n}提供的道具、或者{/n}变更各种设定呢！
旅をしていく上で 大切な、{/n}＜日記をつける＞コマンドも{/n}ここにあるぞ。,旅途中非常重要的{/n}＜记录日记＞指令{/n}也在这里哦。
日記は こまめに{/n}つけておくようにしましょうね。{/n},日记要勤快{/n}记录才行呢。{/n}
それでは、今回はこのへんで。{/n}ひきつづき ゲームを{/n}お楽しみください！,那么本次讲座就到这里。{/n}请继续享受{/n}游戏的乐趣吧！
またあおう。{/n}{/n},再会啦。{/n}{/n}
