{Par}【炎の矢】  敵を貫く火炎が{/n}まっすぐ とんでいくよ。,{Par}【炎之矢】 贯穿敌人的火焰{/n}会笔直地飞射出去哦。
{Par}【紅い稲妻】  強力な電撃だよ。{/n}当たった敵は しびれちゃうんだ。,{Par}【绯红闪电】 强力的电击哦。{/n}被击中的敌人会陷入麻痹状态呢。
{Par}【閃光】  最大級の攻撃魔法だよ。敵全てに大ダメージを与えるんだ。,{Par}【闪光】 最高等级的攻击魔法哦。{/n}能对所有敌人造成巨大伤害。
{Par}【水の龍】  強力な水流をあびせて敵をたおすんだ。,{Par}【水之龙】 用强力水流冲击{/n}将敌人打倒的技能。
{Par}【蒼い竜巻】  竜巻を発生させて、周囲の敵を 空にまきあげるよ。,{Par}【苍蓝龙卷】 产生龙卷风{/n}把周围的敌人卷上天空哦。
{Par}【氷の矢】  氷を飛ばして、{/n}敵を攻撃するよ。,{Par}【冰之矢】 发射冰块{/n}攻击敌人的招式。
{Par}【癒しの風】  ３人同時に{/n}体力を回復するよ。,{Par}【治愈之风】 同时为三人{/n}恢复体力的魔法。
{Par}【碧の疾風】  突風を発生させて{/n}敵を吹き飛ばすんだ。,{Par}【碧绿疾风】 生成突风{/n}将敌人吹飞的技能。
{Par}【護りの風】  風をまとって 宙に{/n}浮くよ。敵の攻撃も受けつけない。,{Par}【守护之风】 乘着风势{/n}浮在空中。并且使敌人的攻击无效化。
{Par}獅堂 光     １４歳  Ｏ型{/n}＜しどう ひかる＞    獅子座,{Par}狮堂 光  ＜①②③④⑤⑥＞{/n}１４岁    Ｏ型    狮子座
{Par}龍咲 海     １４歳  Ａ型{/n}＜りゅうざき うみ＞    魚座,{Par}龙咲 海  ＜⑪⑫⑬⑭⑮⑯＞{/n}１４岁    Ａ型    双鱼座
{Par}鳳皇寺 風   １４歳  Ａ型{/n}＜ほうおうじ ふう＞  いて座,{Par}凤凰寺 风    ＜㉑㉒㉓㉔＞{/n}１４岁    Ａ型    射手座
{Par}【水流超破斬】{/n}嵐の海でも 平気で泳げるよ。,{Par}【水流超破斩】{/n}在暴风雨的海中 也能轻松游泳哦。
{Par}【重衝粉砕弾】{/n}強力な体当りで 岩をも砕くんだ。,{Par}【重冲粉碎弹】{/n}凭借强力的撞击 连岩石都能击碎哦。
{Par}【瞬発疾行脚】{/n}助走なしに 最高速で走りだせるよ。,{Par}【瞬发疾行脚】{/n}无需助跑 就能以最快速度奔跑哦。
{Par}【絵日記をつける】{/n}ここまでの出来事を日記に書くよ。,{Par}【写绘本日记】{/n}把至今为止的冒险写成日记哦。
{Par}【旅の思い出】{/n}ここまでの絵日記が読めるんだ。,{Par}【旅途的回忆】{/n}可以阅读至今为止的绘本日记。
{Par}【クレフに相談】{/n}通信で クレフと話すよ。,{Par}【咨询克雷夫】{/n}通过通讯装置{/n}和克雷夫对话。
{Par}【アイテム】{/n}アイテムを見たり使ったりするよ。,{Par}【道具】{/n}查看或使用道具的选项。
{Par}【設定】{/n}いろんな設定が かえられるよ。,{Par}【设定】{/n}可以变更各种设定。
{Par}メッセージをゆっくり表示するよ。ＡＣ：決定  Ｂ：戻る,{Par}消息会慢慢地显示哦。{/n}ＡＣ：决定  Ｂ：返回
{Par}メッセージをふつうに表示するよ。ＡＣ：決定  Ｂ：戻る,{Par}消息会普通地显示哦。{/n}ＡＣ：决定  Ｂ：返回
{Par}メッセージをはやく表示するよ。{/n}ＡＣ：決定  Ｂ：戻る,{Par}消息会快速地显示哦。{/n}ＡＣ：决定  Ｂ：返回
{Par}サウンドをステレオにするよ。{/n}ＡＣ：決定  Ｂ：戻る,{Par}音效设为立体声哦。{/n}ＡＣ：决定  Ｂ：返回
{Par}サウンドをモノラルにするよ。{/n}ＡＣ：決定  Ｂ：戻る,{Par}音效设为单声道哦。{/n}ＡＣ：决定  Ｂ：返回
{Par}ボタンの配置をかえるよ。{/n}ＡＣ：決定  Ｂ：戻る,{Par}变更按钮配置哦。{/n}ＡＣ：决定  Ｂ：返回
{Par}左右と上下でタイプを決めてね！{/n}ＡＣ：決定  Ｂ：戻る,{Par}请用左右和上下决定类型！{/n}ＡＣ：决定  Ｂ：返回
{Par}せっていをかえたよ！{/n}なにかボタンをおしてね。,{Par}设定变更完毕！{/n}请按下任意按钮。
{Par}どっちに書こうか？{/n}上下：選択 ＡＣ：決定 Ｂ：戻る,{Par}要写在哪个位置呢？{/n}上下：选择 ＡＣ：决定  Ｂ：返回
{Par}どれにしようかな？{/n}上下：選択 ＡＣ：決定 Ｂ：戻る,{Par}要选择哪个呢？{/n}上下：选择 ＡＣ：决定  Ｂ：返回
{Par}セーブしたよ{/n},{Par}存档完成{/n}
{Par}冒険を続ける{/n}今日はもうお休み,{Par}继续冒险{/n}今天就先休息吧
{Par}【元気のくすり】{/n}何でも ばっちり回復する薬,{Par}【元气药剂】{/n}能完全恢复状态的万能药
{Par}【赤色のカギ】{/n}赤い色の扉を開けられるカギ,{Par}【红色钥匙】{/n}能开启红色门扉的钥匙
{Par}【青色のカギ】{/n}青い色の扉を開けられるカギ,{Par}【蓝色钥匙】{/n}能开启蓝色门扉的钥匙
{Par}【緑色のカギ】{/n}緑色の扉を開けられるカギ,{Par}【绿色钥匙】{/n}能开启绿色门扉的钥匙
{Par}【プレセアの恥ずかしい秘密】{/n}？,{Par}【普蕾西娅的羞耻秘密】{/n}？
{Par}【七色おじさんのメダル】{/n}アミュレットすべてを集めたあかし,{Par}【七彩大叔的徽章】{/n}集齐所有护身符的证明
{Par}【黒の日記】{/n}？？？？,{Par}【黑色日记】{/n}？？？？
{Par}【まほうのくすり】{/n}ＭＰが最大値まで回復する薬,{Par}【魔法药剂】{/n}能完全恢复ＭＰ的魔法药
{Par}【西のメダル】{/n}謎めき輝く西のメダル,{Par}【西方徽章】{/n}闪耀着谜之光辉的西方徽章
{Par}【東のメダル】{/n}謎めき輝く東のメダル,{Par}【东方徽章】{/n}闪耀着谜之光辉的东方徽章
{Par}【ライリーの万能薬】{/n}なんでも治る不思議な薬,{Par}【莱利的万能药】{/n}能治愈万物的神奇药水
{Par}【まほうの指輪】{/n}ＭＰの回復が早くなる指輪,{Par}【魔法戒指】{/n}能加速ＭＰ恢复的戒指
{Par}【ぷうぷうサンダル】{/n}なぜかモコナの声のするサンダル,{Par}【噗噗凉鞋】{/n}不知为何会发出摩可拿声音的凉鞋
{Par}【導きの玉】  ダンジョンから{/n}脱出できる不思議な玉,{Par}【引导之玉】 能从迷宫{/n}脱出的神奇玉珠
{Par}【虹のアミュレット】{/n}集めてうれしいアミュレット,{Par}【彩虹护身符】{/n}收集起来会很开心的护身符
{Par}【炎神・レイアース】{/n}光と共に戦う伝説の魔神,{Par}【炎神・雷亚斯】{/n}与光共同作战的传说魔神
{Par}【海神・セレス】{/n}海と共に戦う伝説の魔神,{Par}【海神・瑟列斯】{/n}与海共同作战的传说魔神
{Par}【空神・ウインダム】{/n}風と共に戦う伝説の魔神,{Par}【空神・温达姆】{/n}与风共同作战的传说魔神
{Par}【伝説の鉱物エスクード】{/n}成長する武器が創れる伝説の鉱物,{Par}【传说矿物艾斯古托】{/n}能锻造成长武器的传说矿物
{Par}【プレセアの恥ずかしい秘密２】{/n}？？,{Par}【普蕾西娅的羞耻秘密２】{/n}？？
{Par}【プレセアの恥ずかしい秘密３】{/n}？？？,{Par}【普蕾西娅的羞耻秘密３】{/n}？？？
