{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}アルシオーネっ！{/n}{/n},{Par}阿尔希欧蕾！{/n}{/n}
フフ…いいの…{/n}これでいい…{/n}もう わたしには、何も…,呼呼…没关系了…{/n}这样就好…{/n}对我来说、已经什么都…
さよなら…{/n}{var0}さんたち…！{/n},永别了…{/n}{var0}的各位…！{/n}
さようなら…ザ…ガ…！{/n}{/n},永别了…扎…加…！{/n}{/n}
{Par}… … …。{/n}{/n},{Par}… … …。{/n}{/n}
なんで…なんで…{/n}涙が出るの…？{/n},为什么…为什么…{/n}眼泪止不住…？{/n}
海さん…{/n}{/n},海小姐…{/n}{/n}
あんなに…わたしたちの{/n}ジャマばかりしてきた{/n}ヤツなのに…どうして…,明明那个家伙…{/n}是三番五次妨碍我们{/n}的敌人啊…为什么会…
なんだか…すごく{/n}悲しそうな顔をしてた…{/n}アルシオーネ…,总觉得…她最后露出了{/n}非常悲伤的表情…{/n}阿尔希欧蕾…
なにか…わたくしたちに{/n}やられるのは 覚悟の上、{/n}という感じでしたわ…,就好像…是抱着{/n}被我们打倒的觉悟{/n}在战斗的样子…
アルシオーネ…{/n}それに…いったい 何を{/n}言おうとしていたんだろう？,阿尔希欧蕾…{/n}而且…她究竟是{/n}想要说什么呢？
わかりませんわね…。{/n}{/n},完全不明白呢…。{/n}{/n}
もう、何が何だか わからないわ！{/n}{/n},已经、{/n}完全搞不清楚状况了啦！{/n}
アスコットも…{/n}ラファーガも 死んでいった…。{/n},阿斯柯特也…{/n}拉法格也…{/n}死去了…。。
こんなこと 続けていて{/n}本当に セフィーロを{/n}救うことになるの{var3},继续这样下去{/n}真的能拯救锡菲罗吗{var3}{/n}
海さん…{/n}{/n},海小姐…{/n}{/n}
こんなことを…{/n}もう おこさないために{/n}戦うんだよ！,正是为了不让…{/n}这样的事再次发生{/n}我们才要战斗啊！
こんな世界になったのは{/n}ザガートが エメロード姫を{/n}さらったせいなんだ！,让世界变成这样都是因为{/n}扎加特掳走了{/n}艾美诺公主！
エメロード姫を助ければ…{/n}こんなこと きっと無くなる！{/n}平和なセフィーロになるよ！,只要救出艾美诺公主…{/n}这种事一定会消失得！{/n}锡菲罗就能恢复和平了！
だから…もうちょっと{/n}がんばろ？ 海ちゃん！{/n},所以…我们再坚持一下{/n}好吗？小海！{/n}
光…{/n}{/n},光…{/n}{/n}
そうですわ！ こんなことが{/n}もう おきないように、{/n}がんばらなきゃいけませんわ！,说得对！为了不让{/n}这样的事情再次发生、{/n}我们必须要努力才行！
そう…そうよね…{/n}{/n},没错…没错呢…{/n}{/n}
ごめんね…ありがとう、{/n}光！ 風！{/n},对不起…谢谢你们、{/n}光！风！{/n}
{Par}我が名は レイアース…！{/n}{/n},{Par}吾名为 雷亚斯…！{/n}{/n}
あの石像が…！{/n}{/n},那座石像…！{/n}{/n}
呼びかけていますわ…！{/n}{/n},在呼唤着我们…！{/n}{/n}
レイ…アース…！{/n}{/n},雷…亚斯…！{/n}{/n}
獅堂 光…{/n}そなたの力、しかと見届けた。{/n},狮堂光…{/n}汝之力量、吾已确然见证。{/n}
我の力、そなたにたくそう…！{/n}{/n},吾之力量、此刻托付与汝…！{/n}{/n}
