{Par}創師の店に ようこそ。{/n}宝石とひきかえに{/n}いいもの 創ってあげるわよ。,{Par}欢迎光临创师之店。{/n}用宝石来交换{/n}就为你制作好东西哦。
{Par}どれが お望み？,{Par}想要哪个呢？
    元気のくすり    宝石 ２００{/n}    まほうのくすり  宝石 １００{/n}    何も いらない{/n},    元气药剂    宝石 ２００{/n}    魔法药剂    宝石 １００{/n}    什么都不需要{/n}
{Par}元気のくすり でいいのね？{/n}    はい{/n}    いいえ{/n},{Par}元气药剂就可以了对吧？{/n}    是{/n}    不是{/n}
{Par}まほうのくすり でいいのね？{/n}    はい{/n}    いいえ{/n},{Par}魔法药剂就可以了对吧？{/n}    是{/n}    不是{/n}
{Par}はい、完成よ♥{/n}{/n},{Par}好的、完成啦♥{/n}{/n}
元気のくすりを手に入れた！{/n}これを使えば ばっちり回復！{/n},获得了元气药剂！{/n}使用这个就能完美恢复！{/n}
{Par}はい、完成よ♥{/n}{/n},{Par}好的、完成啦♥{/n}{/n}
まほうのくすりを手に入れた！{/n}これを使えば ＭＰが全回復！{/n},获得了魔法药剂！{/n}使用这个就能恢复全部ＭＰ！{/n}
{Par}創師の店に ようこそ。{/n}宝石とひきかえに{/n}いいもの 創ってあげるわよ。,{Par}欢迎光临创师之店。{/n}用宝石来交换{/n}就为你制作好东西哦。
    元気のくすり    宝石 ２００{/n}    まほうのくすり  宝石 １００{/n}    ハートの宝玉    宝石 ５００{/n},    元气药剂    宝石 ２００{/n}    魔法药剂    宝石 １００{/n}    爱心宝玉    宝石 ５００{/n}
{Par}ハートの宝玉 でいいのね？{/n}    はい{/n}    いいえ{/n},{Par}爱心宝玉就可以了对吧？{/n}    是{/n}    不是{/n}
{Par}はい、完成よ♥{/n},{Par}好的、完成啦♥{/n}
{Par}創師の店に ようこそ。{/n}宝石とひきかえに{/n}いいもの 創ってあげるわよ。,{Par}欢迎光临创师之店。{/n}用宝石来交换{/n}就为你制作好东西哦。
    元気のくすり    宝石 ２００{/n}    まほうのくすり  宝石 １００{/n}    まほうの宝玉    宝石 ７００{/n},    元气药剂    宝石 ２００{/n}    魔法药剂    宝石 １００{/n}    魔法宝玉    宝石 ７００{/n}
{Par}まほうの宝玉 でいいのね？{/n}    はい{/n}    いいえ{/n},{Par}魔法宝玉就可以了对吧？{/n}    是{/n}    不是{/n}
{Par}はい、完成よ♥{/n},{Par}好的、完成啦♥{/n}
{Par}欲しいものができたら{/n}また 来てね♥{/n},{Par}想要新东西的话{/n}要再来哦♥{/n}
{Par}これは もう 持っているわね。{/n}それ以上 持てないのよ。{/n},{Par}这个已经带在身上了吧。{/n}不能再带更多了哦。{/n}
{Par}宝石が 足りないみたいね。{/n}残念だけど、それじゃ創れないわ。,{Par}宝石好像不够呢。{/n}虽然很遗憾、这样是做不出来的。
宝石をたくさん集めてから{/n}また 来てね♥{/n},收集更多宝石之后{/n}要再来哦♥{/n}
